%	V.id	R.x	R.y	R.z
1	8.493375e+02	9.020113e+02	6.432250e+02
1	8.480212e+02	9.030205e+02	6.416205e+02
1	8.448848e+02	9.049886e+02	6.437715e+02
1	8.450562e+02	8.962750e+02	6.366708e+02
1	8.527468e+02	8.988227e+02	6.364780e+02
1	8.517444e+02	8.890948e+02	6.335515e+02
2	8.544479e+02	8.949025e+02	6.206605e+02
1	8.561495e+02	8.966028e+02	6.191548e+02
2	8.510811e+02	8.833307e+02	6.356855e+02
1	8.492829e+02	8.805032e+02	6.336768e+02
1	8.544593e+02	8.836790e+02	6.447329e+02
2	8.803239e+02	8.827914e+02	6.385079e+02
1	8.795053e+02	8.831097e+02	6.389250e+02
1	8.830313e+02	8.884488e+02	6.466018e+02
2	8.831222e+02	8.880254e+02	6.479438e+02
1	8.850649e+02	8.942519e+02	6.489381e+02
1	8.864511e+02	9.004261e+02	6.519665e+02
2	8.835282e+02	8.879726e+02	6.584050e+02
1	8.832642e+02	8.865907e+02	6.587882e+02
1	8.841016e+02	8.875198e+02	6.663473e+02
1	8.849440e+02	8.889028e+02	6.691040e+02
1	8.845978e+02	8.943008e+02	6.788831e+02
2	8.834148e+02	8.967137e+02	6.808004e+02
1	8.833879e+02	8.965901e+02	6.841551e+02
1	8.837808e+02	8.860116e+02	6.687683e+02
1	8.844919e+02	8.841460e+02	6.741284e+02
2	8.769864e+02	8.807060e+02	6.413521e+02
1	8.749485e+02	8.812273e+02	6.436920e+02
1	8.708880e+02	8.768567e+02	6.468845e+02
1	8.828311e+02	8.806867e+02	6.385887e+02
1	9.168824e+02	8.862760e+02	6.238544e+02
1	9.201927e+02	8.861767e+02	6.237796e+02
2	9.233481e+02	8.862457e+02	6.257269e+02
2	9.280446e+02	8.888492e+02	6.257144e+02
2	9.294570e+02	8.914448e+02	6.263982e+02
1	9.366633e+02	8.947422e+02	6.289664e+02
1	9.389566e+02	8.966991e+02	6.286061e+02
1	9.413285e+02	9.006018e+02	6.309095e+02
2	9.418969e+02	9.022446e+02	6.306610e+02
2	9.435526e+02	9.050189e+02	6.303202e+02
1	9.442219e+02	9.056665e+02	6.317489e+02
2	9.432078e+02	9.082650e+02	6.334970e+02
1	9.455868e+02	9.007531e+02	6.414717e+02
1	9.449194e+02	9.021870e+02	6.439153e+02
1	9.453405e+02	8.985288e+02	6.260603e+02
1	9.466153e+02	8.992941e+02	6.241769e+02
2	9.509500e+02	9.003628e+02	6.232694e+02
1	9.584646e+02	8.996201e+02	6.189636e+02
2	9.586493e+02	8.946337e+02	6.504324e+02
1	9.630900e+02	8.952214e+02	6.509612e+02
1	9.712666e+02	9.011843e+02	6.557770e+02
1	9.739634e+02	9.020837e+02	6.564829e+02
1	9.837872e+02	9.104462e+02	6.688402e+02
1	9.792567e+02	9.115831e+02	6.713444e+02
1	9.575994e+02	8.945594e+02	6.516958e+02
2	9.284307e+02	8.937670e+02	6.254501e+02
1	9.325136e+02	8.845069e+02	6.208067e+02
2	9.315524e+02	8.835303e+02	6.203512e+02
1	9.342861e+02	8.833587e+02	6.193174e+02
1	9.249113e+02	8.837799e+02	6.287642e+02
1	9.264391e+02	8.790446e+02	6.313828e+02
2	9.268954e+02	8.740686e+02	6.335244e+02
1	9.279672e+02	8.708830e+02	6.312515e+02
2	9.277713e+02	8.671834e+02	6.313010e+02
2	9.296764e+02	8.656470e+02	6.307561e+02
1	9.296229e+02	8.594501e+02	6.338910e+02
1	9.302108e+02	8.556696e+02	6.362672e+02
2	9.308967e+02	8.644391e+02	6.279783e+02
2	9.249732e+02	8.728981e+02	6.407862e+02
2	9.218832e+02	8.712123e+02	6.435795e+02
1	9.269609e+02	8.842987e+02	6.319856e+02
1	9.233144e+02	8.859844e+02	6.190224e+02
2	9.223201e+02	8.883686e+02	6.104600e+02
1	9.220543e+02	8.893512e+02	6.082069e+02
1	9.188293e+02	8.888776e+02	6.037454e+02
1	9.167207e+02	8.877135e+02	6.259954e+02
2	8.913937e+02	8.855668e+02	6.081055e+02
2	8.671522e+02	8.783932e+02	5.652370e+02
1	8.684456e+02	8.774314e+02	5.661593e+02
2	8.698895e+02	8.781401e+02	5.654017e+02
1	8.716338e+02	8.750337e+02	5.631003e+02
2	8.711207e+02	8.737650e+02	5.627929e+02
1	8.529245e+02	8.701305e+02	5.386515e+02
2	8.523550e+02	8.630288e+02	5.429056e+02
1	8.506926e+02	8.622091e+02	5.438355e+02
2	8.513268e+02	8.621960e+02	5.446562e+02
2	8.499438e+02	8.590768e+02	5.457431e+02
1	8.508036e+02	8.584697e+02	5.457060e+02
2	8.492608e+02	8.544201e+02	5.448001e+02
1	8.487927e+02	8.534140e+02	5.461419e+02
2	8.478872e+02	8.517203e+02	5.458130e+02
1	8.493977e+02	8.512815e+02	5.456805e+02
1	8.483767e+02	8.476962e+02	5.461761e+02
2	8.469034e+02	8.436015e+02	5.458307e+02
1	8.478256e+02	8.427253e+02	5.466222e+02
1	8.464411e+02	8.428507e+02	5.486323e+02
1	8.452071e+02	8.425549e+02	5.452087e+02
1	8.466330e+02	8.509364e+02	5.462951e+02
2	8.481673e+02	8.533181e+02	5.478943e+02
2	8.465147e+02	8.507164e+02	5.482856e+02
1	8.483767e+02	8.476962e+02	5.461761e+02
1	8.474081e+02	8.554869e+02	5.509848e+02
2	8.480438e+02	8.551726e+02	5.533239e+02
1	8.482321e+02	8.520387e+02	5.383164e+02
1	8.535319e+02	8.571394e+02	5.486771e+02
1	8.634760e+02	8.516529e+02	5.534470e+02
1	8.490653e+02	8.628506e+02	5.507898e+02
1	8.570657e+02	8.598393e+02	5.406322e+02
2	8.593945e+02	8.592069e+02	5.403965e+02
2	8.539565e+02	8.692535e+02	5.377478e+02
2	8.590868e+02	8.702440e+02	5.405871e+02
1	8.609396e+02	8.714614e+02	5.404236e+02
2	8.481351e+02	8.711606e+02	5.025864e+02
2	8.439597e+02	8.599632e+02	5.002807e+02
1	8.295308e+02	8.409531e+02	5.083298e+02
1	8.267666e+02	8.335770e+02	5.108659e+02
1	8.246089e+02	8.313750e+02	5.108400e+02
1	8.222119e+02	8.277277e+02	5.132284e+02
1	8.166345e+02	8.239175e+02	5.158028e+02
2	8.156113e+02	8.237699e+02	5.171699e+02
1	8.154581e+02	8.223651e+02	5.182000e+02
1	8.173282e+02	8.181784e+02	5.202222e+02
2	8.159436e+02	8.172070e+02	5.200806e+02
1	8.188842e+02	8.145723e+02	5.206992e+02
