%	I.id	Rstop.x	Rstop.y	Rstop.z
2	8.621565e+02	8.737062e+02	6.341018e+02
1	8.605429e+02	8.746368e+02	6.365081e+02
1	8.621345e+02	8.820885e+02	6.370646e+02
1	8.887506e+02	8.308944e+02	6.543649e+02
1	8.870319e+02	8.366370e+02	6.509209e+02
2	8.934772e+02	8.355682e+02	6.586519e+02
1	8.958033e+02	8.356649e+02	6.614118e+02
2	8.957935e+02	8.325339e+02	6.561893e+02
1	8.855006e+02	8.356736e+02	6.555035e+02
1	8.795915e+02	8.360513e+02	6.709506e+02
1	8.744505e+02	8.336778e+02	6.694145e+02
2	8.599189e+02	8.487063e+02	6.720989e+02
2	8.518846e+02	8.400767e+02	6.689653e+02
1	8.534492e+02	8.406352e+02	6.721823e+02
2	8.501961e+02	8.468794e+02	6.728626e+02
1	8.481655e+02	8.427570e+02	6.668338e+02
2	8.495762e+02	8.418297e+02	6.636761e+02
2	8.451202e+02	8.389472e+02	6.617745e+02
1	8.524737e+02	8.415295e+02	6.609636e+02
1	8.561893e+02	8.615284e+02	6.588761e+02
2	8.392674e+02	8.695060e+02	6.686705e+02
2	8.390570e+02	8.645426e+02	6.717822e+02
1	8.354283e+02	8.656289e+02	6.690966e+02
2	8.457076e+02	8.743724e+02	6.591684e+02
1	8.309588e+02	8.484497e+02	6.627513e+02
2	8.344273e+02	8.653369e+02	6.554438e+02
2	8.418161e+02	8.710789e+02	6.660205e+02
1	8.538971e+02	8.782778e+02	6.410419e+02
1	8.497069e+02	8.769350e+02	6.393379e+02
2	8.513128e+02	9.036251e+02	6.439289e+02
1	8.489850e+02	9.038724e+02	6.447437e+02
2	8.509490e+02	8.993087e+02	6.505686e+02
1	8.503103e+02	9.035759e+02	6.383166e+02
1	8.448308e+02	9.050123e+02	6.436465e+02
1	8.420104e+02	9.038432e+02	6.506896e+02
1	8.436343e+02	8.933689e+02	6.373760e+02
1	8.483477e+02	8.960863e+02	6.341739e+02
2	8.527462e+02	8.988054e+02	6.364089e+02
1	8.529562e+02	9.012768e+02	6.346852e+02
2	8.421782e+02	8.935048e+02	6.419062e+02
1	8.498492e+02	8.863138e+02	6.351802e+02
1	8.411655e+02	8.844057e+02	6.215275e+02
1	8.525032e+02	8.920814e+02	6.194354e+02
2	8.596631e+02	8.955707e+02	6.205278e+02
1	8.621114e+02	9.041063e+02	6.190092e+02
1	8.495363e+02	8.852472e+02	6.409041e+02
2	8.488531e+02	8.805985e+02	6.301478e+02
1	8.479589e+02	8.788377e+02	6.339739e+02
1	8.576949e+02	8.859241e+02	6.426245e+02
1	8.531407e+02	8.793206e+02	6.520055e+02
1	8.539525e+02	8.819023e+02	6.410587e+02
1	8.718199e+02	8.814058e+02	6.347180e+02
2	8.892895e+02	8.954059e+02	6.506608e+02
1	8.910033e+02	9.032089e+02	6.508297e+02
1	8.841344e+02	9.004134e+02	6.484081e+02
2	8.846323e+02	8.988076e+02	6.883321e+02
1	8.826889e+02	8.958458e+02	6.916951e+02
2	8.788078e+02	9.049520e+02	6.855589e+02
1	8.926791e+02	8.941230e+02	6.963119e+02
1	8.876205e+02	8.843723e+02	6.699159e+02
1	8.876401e+02	8.838631e+02	6.757334e+02
1	8.781694e+02	8.804555e+02	6.789691e+02
1	8.825338e+02	8.846465e+02	6.727395e+02
1	8.848576e+02	8.789618e+02	6.631764e+02
2	8.785895e+02	8.960203e+02	6.593723e+02
1	8.851654e+02	8.935965e+02	6.456618e+02
1	8.685243e+02	8.769531e+02	6.472936e+02
1	8.758578e+02	8.749233e+02	6.471647e+02
1	8.759366e+02	8.835800e+02	6.486298e+02
2	8.769515e+02	8.751882e+02	6.430533e+02
2	8.865497e+02	8.800368e+02	6.391183e+02
1	8.831664e+02	8.777320e+02	6.362957e+02
2	9.418476e+02	9.022654e+02	6.305895e+02
2	9.441482e+02	9.131573e+02	6.322601e+02
2	9.414747e+02	9.090785e+02	6.361964e+02
1	9.494518e+02	9.098090e+02	6.390938e+02
2	9.474329e+02	9.077261e+02	6.297782e+02
1	9.480322e+02	8.948137e+02	6.434347e+02
1	9.453796e+02	9.028835e+02	6.446554e+02
1	9.422250e+02	9.032501e+02	6.478722e+02
1	9.465506e+02	8.992924e+02	6.241161e+02
1	9.662653e+02	9.019252e+02	6.105897e+02
1	9.614241e+02	8.981446e+02	6.209314e+02
2	9.530235e+02	9.030078e+02	6.258088e+02
1	9.477393e+02	8.958598e+02	6.280133e+02
1	9.811461e+02	9.179396e+02	6.747242e+02
1	9.765515e+02	9.114218e+02	6.708640e+02
1	9.899578e+02	9.208688e+02	6.749073e+02
1	9.795984e+02	9.045629e+02	6.510670e+02
1	9.741008e+02	9.047737e+02	6.588253e+02
1	9.644572e+02	8.876546e+02	6.520950e+02
2	9.586219e+02	8.924152e+02	6.535417e+02
1	9.506091e+02	8.942208e+02	6.511842e+02
2	9.283989e+02	8.937797e+02	6.255162e+02
2	9.261976e+02	9.038461e+02	6.238696e+02
2	9.317596e+02	8.835739e+02	6.202069e+02
2	9.312723e+02	8.789164e+02	6.186731e+02
1	9.369401e+02	8.832403e+02	6.205389e+02
1	9.345630e+02	8.819151e+02	6.132570e+02
2	9.312167e+02	8.570073e+02	6.359365e+02
1	9.308253e+02	8.542926e+02	6.335911e+02
1	9.313913e+02	8.524235e+02	6.405303e+02
2	9.355467e+02	8.563909e+02	6.253282e+02
2	9.259437e+02	8.616231e+02	6.247995e+02
2	9.233529e+02	8.640097e+02	6.283646e+02
1	9.281802e+02	8.710970e+02	6.233606e+02
2	9.296196e+02	8.712448e+02	6.482744e+02
2	9.143736e+02	8.721117e+02	6.456277e+02
2	9.182850e+02	8.628305e+02	6.421132e+02
1	9.297791e+02	8.813082e+02	6.322095e+02
1	9.286833e+02	8.853226e+02	6.357871e+02
1	9.309119e+02	8.837858e+02	6.363919e+02
1	9.240008e+02	8.867654e+02	6.113162e+02
2	9.257953e+02	8.937002e+02	6.060184e+02
1	9.190240e+02	8.886609e+02	6.005729e+02
1	9.146171e+02	8.877904e+02	6.069372e+02
1	9.329980e+02	8.855580e+02	6.253277e+02
1	9.159496e+02	8.890366e+02	6.253693e+02
1	9.195342e+02	8.857792e+02	6.271460e+02
1	8.888843e+02	8.839439e+02	6.111301e+02
2	8.962019e+02	8.879538e+02	6.060804e+02
2	8.721476e+02	8.732006e+02	5.635417e+02
2	8.712869e+02	8.703385e+02	5.603432e+02
1	8.746361e+02	8.749338e+02	5.554065e+02
2	8.753449e+02	8.795750e+02	5.660284e+02
1	8.691581e+02	8.750541e+02	5.676390e+02
2	8.644862e+02	8.758298e+02	5.635021e+02
1	8.588731e+02	8.864198e+02	5.633930e+02
2	8.461391e+02	8.843945e+02	5.422867e+02
2	8.489400e+02	8.416001e+02	5.472816e+02
1	8.447725e+02	8.381463e+02	5.505490e+02
1	8.401079e+02	8.457105e+02	5.477248e+02
1	8.564571e+02	8.403172e+02	5.480397e+02
2	8.455667e+02	8.438928e+02	5.411956e+02
1	8.407028e+02	8.419875e+02	5.439891e+02
1	8.518125e+02	8.470660e+02	5.439697e+02
2	8.454500e+02	8.515335e+02	5.453341e+02
1	8.447871e+02	8.483119e+02	5.476407e+02
1	8.482272e+02	8.477775e+02	5.460903e+02
1	8.495482e+02	8.438455e+02	5.428102e+02
2	8.426717e+02	8.490751e+02	5.497147e+02
2	8.481336e+02	8.549587e+02	5.533126e+02
2	8.476922e+02	8.542562e+02	5.605707e+02
1	8.461112e+02	8.582578e+02	5.529939e+02
2	8.444725e+02	8.527803e+02	5.359794e+02
1	8.466559e+02	8.484865e+02	5.333513e+02
1	8.545915e+02	8.587727e+02	5.487814e+02
1	8.653034e+02	8.522492e+02	5.535643e+02
1	8.639100e+02	8.512293e+02	5.501239e+02
2	8.473113e+02	8.636622e+02	5.459478e+02
2	8.468627e+02	8.641370e+02	5.556930e+02
1	8.367729e+02	8.555576e+02	5.609483e+02
1	8.477447e+02	8.570643e+02	5.444375e+02
2	8.586541e+02	8.595811e+02	5.385606e+02
1	8.587353e+02	8.617760e+02	5.378848e+02
2	8.633063e+02	8.565628e+02	5.399400e+02
1	8.587183e+02	8.684698e+02	5.411614e+02
2	8.628860e+02	8.733594e+02	5.425937e+02
1	8.667934e+02	8.739304e+02	5.392689e+02
2	8.556861e+02	8.659573e+02	5.365274e+02
1	8.531815e+02	8.763358e+02	5.359029e+02
1	8.463932e+02	8.745764e+02	5.260018e+02
2	8.481276e+02	8.711543e+02	5.025942e+02
2	8.435363e+02	8.759948e+02	5.000331e+02
2	8.199435e+02	8.126051e+02	5.209745e+02
1	8.240644e+02	8.196604e+02	5.249095e+02
2	8.107066e+02	8.145466e+02	5.205204e+02
1	8.109706e+02	8.087853e+02	5.203326e+02
1	8.192371e+02	8.170992e+02	5.234703e+02
1	8.096130e+02	8.177765e+02	5.267546e+02
1	7.975167e+02	8.223924e+02	5.234621e+02
1	7.897519e+02	8.212850e+02	5.180732e+02
1	7.869405e+02	8.176343e+02	5.203070e+02
1	8.139694e+02	8.144096e+02	5.303132e+02
2	8.106717e+02	8.276313e+02	5.213743e+02
2	8.050191e+02	8.335190e+02	5.227980e+02
1	8.100644e+02	8.339538e+02	5.249035e+02
2	8.064650e+02	8.226763e+02	5.129804e+02
1	8.164493e+02	8.286980e+02	5.208451e+02
1	8.110537e+02	8.306918e+02	5.230131e+02
1	8.098770e+02	8.170456e+02	5.081965e+02
1	8.049260e+02	8.185202e+02	4.920966e+02
2	8.076612e+02	8.126058e+02	5.129035e+02
1	8.070798e+02	8.093163e+02	5.123613e+02
1	8.240449e+02	8.261877e+02	5.166533e+02
