% Depth (A)	I1 (cm^-3)	I2 (cm^-3)	...
2.050000e+03	1.401275e+20	9.722875e+19	
2.150000e+03	1.306350e+20	9.064125e+19	
2.250000e+03	1.233238e+20	8.573750e+19	
2.350000e+03	1.218038e+20	8.472125e+19	
2.450000e+03	1.075350e+20	7.483625e+19	
2.550000e+03	9.995000e+19	6.915625e+19	
2.650000e+03	9.299750e+19	6.459625e+19	
2.750000e+03	8.532000e+19	5.938625e+19	
2.850000e+03	8.145750e+19	5.618625e+19	
2.950000e+03	7.460125e+19	5.136625e+19	
3.050000e+03	6.888125e+19	4.772625e+19	
3.150000e+03	6.355500e+19	4.395375e+19	
3.250000e+03	5.974750e+19	4.158375e+19	
3.350000e+03	5.558500e+19	3.868000e+19	
3.450000e+03	5.046375e+19	3.539500e+19	
3.550000e+03	4.671250e+19	3.302625e+19	
3.650000e+03	4.299625e+19	2.978500e+19	
3.750000e+03	4.143625e+19	2.890125e+19	
3.850000e+03	3.570375e+19	2.476125e+19	
3.950000e+03	3.018000e+19	2.138500e+19	
4.050000e+03	2.759875e+19	1.910250e+19	
4.150000e+03	2.583625e+19	1.773750e+19	
4.250000e+03	2.263750e+19	1.568750e+19	
4.350000e+03	1.913250e+19	1.313750e+19	
4.450000e+03	1.538250e+19	1.087250e+19	
4.550000e+03	1.266375e+19	8.706250e+18	
4.650000e+03	1.041125e+19	7.217500e+18	
4.750000e+03	8.961250e+18	6.183750e+18	
4.850000e+03	6.386250e+18	4.423750e+18	
4.950000e+03	5.516250e+18	3.606250e+18	
5.050000e+03	4.516250e+18	3.061250e+18	
5.150000e+03	2.671250e+18	1.828750e+18	
5.250000e+03	1.581250e+18	1.085000e+18	
5.350000e+03	1.446250e+18	9.325000e+17	
5.450000e+03	1.066250e+18	6.487500e+17	
5.550000e+03	5.262500e+17	3.925000e+17	
5.650000e+03	3.850000e+17	2.700000e+17	
5.750000e+03	1.375000e+17	1.137500e+17	
5.850000e+03	9.375000e+16	5.875000e+16	
5.950000e+03	1.250000e+16	1.125000e+16	
6.050000e+03	3.750000e+15	3.750000e+15	
6.150000e+03	4.250000e+16	2.875000e+16	
6.250000e+03	1.250000e+15	5.000000e+15	
6.350000e+03	1.375000e+16	1.000000e+16	
6.450000e+03	3.125000e+16	2.625000e+16	
6.550000e+03	0.000000e+00	0.000000e+00	
6.650000e+03	0.000000e+00	0.000000e+00	
6.750000e+03	0.000000e+00	0.000000e+00	
6.850000e+03	0.000000e+00	0.000000e+00	
6.950000e+03	0.000000e+00	0.000000e+00	
7.050000e+03	0.000000e+00	0.000000e+00	
7.150000e+03	0.000000e+00	0.000000e+00	
7.250000e+03	0.000000e+00	0.000000e+00	
7.350000e+03	0.000000e+00	0.000000e+00	
7.450000e+03	0.000000e+00	0.000000e+00	
7.550000e+03	0.000000e+00	0.000000e+00	
7.650000e+03	0.000000e+00	0.000000e+00	
7.750000e+03	0.000000e+00	0.000000e+00	
7.850000e+03	0.000000e+00	0.000000e+00	
7.950000e+03	0.000000e+00	0.000000e+00	
8.050000e+03	0.000000e+00	0.000000e+00	
8.150000e+03	0.000000e+00	0.000000e+00	
8.250000e+03	0.000000e+00	0.000000e+00	
8.350000e+03	0.000000e+00	0.000000e+00	
8.450000e+03	0.000000e+00	0.000000e+00	
8.550000e+03	0.000000e+00	0.000000e+00	
8.650000e+03	0.000000e+00	0.000000e+00	
8.750000e+03	0.000000e+00	0.000000e+00	
8.850000e+03	0.000000e+00	0.000000e+00	
8.950000e+03	0.000000e+00	0.000000e+00	
9.050000e+03	0.000000e+00	0.000000e+00	
9.150000e+03	0.000000e+00	0.000000e+00	
9.250000e+03	0.000000e+00	0.000000e+00	
9.350000e+03	0.000000e+00	0.000000e+00	
9.450000e+03	0.000000e+00	0.000000e+00	
