% Depth (A)	V1 (cm^-3)	V2 (cm^-3)	...
9.250000e+03	0.000000e+00	0.000000e+00	
9.350000e+03	0.000000e+00	0.000000e+00	
9.450000e+03	0.000000e+00	0.000000e+00	
9.550000e+03	0.000000e+00	0.000000e+00	
9.650000e+03	0.000000e+00	0.000000e+00	
9.750000e+03	0.000000e+00	0.000000e+00	
9.850000e+03	0.000000e+00	0.000000e+00	
9.950000e+03	0.000000e+00	0.000000e+00	
5.000000e+01	7.802313e+20	5.579850e+20	
1.500000e+02	9.723363e+20	6.790613e+20	
2.500000e+02	1.257811e+21	8.745713e+20	
3.500000e+02	1.527945e+21	1.057451e+21	
4.500000e+02	1.767055e+21	1.221420e+21	
5.500000e+02	1.897524e+21	1.311670e+21	
6.500000e+02	1.954301e+21	1.352839e+21	
7.500000e+02	1.909771e+21	1.316449e+21	
8.500000e+02	1.813444e+21	1.247956e+21	
9.500000e+02	1.670499e+21	1.150521e+21	
1.050000e+03	1.513581e+21	1.043526e+21	
1.150000e+03	1.361885e+21	9.390525e+20	
1.250000e+03	1.207089e+21	8.303488e+20	
1.350000e+03	1.042116e+21	7.189625e+20	
1.450000e+03	9.216875e+20	6.347013e+20	
1.550000e+03	8.014113e+20	5.527700e+20	
1.650000e+03	6.984013e+20	4.813875e+20	
1.750000e+03	6.092775e+20	4.214288e+20	
1.850000e+03	5.335238e+20	3.686125e+20	
1.950000e+03	4.688550e+20	3.225838e+20	
2.050000e+03	4.196775e+20	2.898700e+20	
2.150000e+03	3.667663e+20	2.538663e+20	
2.250000e+03	3.255913e+20	2.247088e+20	
2.350000e+03	2.948688e+20	2.035988e+20	
2.450000e+03	2.519538e+20	1.745413e+20	
2.550000e+03	2.239288e+20	1.549950e+20	
2.650000e+03	2.008413e+20	1.391188e+20	
2.750000e+03	1.808938e+20	1.255163e+20	
2.850000e+03	1.646125e+20	1.131863e+20	
2.950000e+03	1.509113e+20	1.037775e+20	
3.050000e+03	1.361713e+20	9.469250e+19	
3.150000e+03	1.193363e+20	8.161000e+19	
3.250000e+03	1.072688e+20	7.428875e+19	
3.350000e+03	9.608875e+19	6.658500e+19	
3.450000e+03	8.716750e+19	6.102500e+19	
3.550000e+03	7.805125e+19	5.480125e+19	
3.650000e+03	7.120500e+19	4.941000e+19	
3.750000e+03	6.495000e+19	4.515000e+19	
3.850000e+03	5.571375e+19	3.879125e+19	
3.950000e+03	4.904000e+19	3.474125e+19	
4.050000e+03	4.354500e+19	3.017000e+19	
4.150000e+03	3.961875e+19	2.711000e+19	
4.250000e+03	3.292625e+19	2.296625e+19	
4.350000e+03	2.859875e+19	1.977125e+19	
4.450000e+03	2.375000e+19	1.659875e+19	
4.550000e+03	1.858500e+19	1.283250e+19	
4.650000e+03	1.509250e+19	1.040250e+19	
4.750000e+03	1.327500e+19	9.196250e+18	
4.850000e+03	9.421250e+18	6.522500e+18	
4.950000e+03	8.116250e+18	5.537500e+18	
5.050000e+03	6.367500e+18	4.408750e+18	
5.150000e+03	4.115000e+18	2.818750e+18	
5.250000e+03	2.302500e+18	1.568750e+18	
5.350000e+03	2.166250e+18	1.462500e+18	
5.450000e+03	1.561250e+18	1.005000e+18	
5.550000e+03	7.812500e+17	5.500000e+17	
5.650000e+03	4.975000e+17	3.550000e+17	
5.750000e+03	1.637500e+17	1.237500e+17	
5.850000e+03	1.075000e+17	7.000000e+16	
5.950000e+03	8.375000e+16	6.125000e+16	
6.050000e+03	1.650000e+17	1.200000e+17	
6.150000e+03	6.250000e+16	4.500000e+16	
6.250000e+03	1.250000e+15	1.250000e+15	
6.350000e+03	1.375000e+16	1.000000e+16	
6.450000e+03	3.125000e+16	2.625000e+16	
6.550000e+03	0.000000e+00	0.000000e+00	
6.650000e+03	0.000000e+00	0.000000e+00	
6.750000e+03	1.250000e+15	0.000000e+00	
6.850000e+03	1.125000e+16	3.750000e+15	
6.950000e+03	7.500000e+15	1.250000e+15	
7.050000e+03	3.750000e+16	2.750000e+16	
7.150000e+03	2.125000e+16	1.500000e+16	
7.250000e+03	0.000000e+00	0.000000e+00	
7.350000e+03	0.000000e+00	0.000000e+00	
7.450000e+03	0.000000e+00	0.000000e+00	
7.550000e+03	2.625000e+16	1.500000e+16	
7.650000e+03	2.000000e+16	1.375000e+16	
7.750000e+03	1.250000e+15	0.000000e+00	
7.850000e+03	2.500000e+15	0.000000e+00	
7.950000e+03	0.000000e+00	0.000000e+00	
8.050000e+03	0.000000e+00	0.000000e+00	
8.150000e+03	0.000000e+00	0.000000e+00	
8.250000e+03	6.250000e+15	2.500000e+15	
8.350000e+03	2.500000e+16	5.000000e+15	
8.450000e+03	8.625000e+16	4.875000e+16	
8.550000e+03	2.125000e+16	1.750000e+16	
8.650000e+03	0.000000e+00	0.000000e+00	
8.750000e+03	0.000000e+00	0.000000e+00	
8.850000e+03	4.750000e+16	4.125000e+16	
8.950000e+03	0.000000e+00	0.000000e+00	
9.050000e+03	0.000000e+00	0.000000e+00	
9.150000e+03	0.000000e+00	0.000000e+00	
9.250000e+03	0.000000e+00	0.000000e+00	
9.350000e+03	0.000000e+00	0.000000e+00	
9.450000e+03	0.000000e+00	0.000000e+00	
9.550000e+03	0.000000e+00	0.000000e+00	
9.650000e+03	0.000000e+00	0.000000e+00	
9.750000e+03	0.000000e+00	0.000000e+00	
9.850000e+03	0.000000e+00	0.000000e+00	
9.950000e+03	0.000000e+00	0.000000e+00	
